loadcase,damage_label,damage_state,source,V_1_1,V_2_1,V_3_1,V_1_2,V_2_2,V_3_2,V_1_3,V_2_3,V_3_3,H_1_1,H_1_2,H_1_3,H_2_1,H_2_2,H_2_3,H_3_1,H_3_2,H_3_3,VH_1_1,VH_1_2,VH_1_3,VH_2_1,VH_2_2,VH_2_3,VH_3_1,VH_3_2,VH_3_3
0,0,pristine,simulated,303.88213187061217,233.61566222562033,165.5509807796064,153.38821322928342,158.5205882039567,176.61199149982474,-44.50724127767912,49.79617755463823,166.38714620130875,-1063.3262734801547,-790.953164881501,-516.0427062877783,-1007.9431932071205,-753.1968248533068,-498.85805087189755,-946.1828727236374,-692.7579608488378,-453.3659551153252,-44.20684423119991,101.06272131584592,223.40306717987755,-17.239139044875913,169.5056238925011,347.1042030397245,-37.5571758604504,204.45222321088858,452.21157439896126
100,0,pristine,simulated,217.37164708383702,160.513380278319,100.14537494993169,119.60709346432881,125.62299424058402,146.82888036185693,-20.002493141791682,49.08811062271295,137.58776558854316,-751.7166801962767,-529.0448939604316,-287.8555014324289,-722.7213922079718,-520.8027538698917,-311.9397055282461,-689.186645901589,-490.714878366371,-301.9906629947699,-42.34256987240829,59.70353180689747,143.70204547677167,-28.837022784661315,100.60343477383012,216.66787062790877,-46.11924110287521,125.8206137222584,306.40006986190645
101,0,pristine,simulated,249.00609917497493,195.17737548155642,139.5332869393707,149.0045760601357,154.59139193729487,172.71583338700708,11.708593094018076,82.54719475106306,168.43089909807185,-855.0306279540296,-643.9891840734373,-418.74158948746157,-823.8119744591202,-629.449478577481,-432.4587568196192,-791.1485620941668,-596.6002036786066,-414.465711703894,-69.44425100340143,31.814739099661523,114.88567941016109,-52.239256290537355,76.69475439657265,194.33781286567677,-67.6813561145052,101.5956141908315,276.84391596752494
102,0,pristine,simulated,261.74012606556676,194.5217697827598,124.7875398230599,61.44272105715488,47.1346785448902,41.985805619147534,-175.85530820568434,-133.05123130635272,-96.10181321084376,-963.4995585371771,-714.1837938085163,-451.7980288529557,-877.1779121077665,-641.2458881835746,-404.85422698395024,-782.0392103437877,-540.8504804362843,-311.4219727199604,36.55235501061952,201.0267973129317,350.20670596144015,63.607057807891124,268.79019277464,464.4610233165903,11.678388837133468,248.87205323889276,484.37852868950085
103,0,pristine,simulated,287.87229729332984,221.2620537923884,157.16199339094928,117.22819980142602,111.61386942052648,113.89775026792202,-91.99863016357641,-22.18994407229312,52.64748970235924,-1027.2966063845595,-775.5493610369947,-523.4322801107086,-957.6552602397792,-717.2179264536272,-478.94099350138737,-882.5691909329748,-638.2358368852963,-403.95227226496627,-14.829147499105602,137.14117699265938,270.74592865469674,12.221182168537723,205.02024627139497,393.0129348603541,-21.20848020889656,213.92727653382082,450.9877535420379
104,0,pristine,simulated,307.1634218679896,222.6502573677415,136.91550017956646,105.58735296806934,96.92158243768586,102.9598726598404,-149.49203011037056,-80.20754895192269,-5.639897525453868,-1104.4260055722266,-778.3520140276211,-414.493768459941,-1027.628702747014,-727.0723362072374,-414.24907124631966,-942.6275356131405,-647.0180477905285,-371.13187735897606,9.292412071490048,188.07381384343944,336.66515965010956,33.776927005106074,257.19504741325943,462.71549013312557,-18.404543618828484,245.24125577314067,488.2033076037152
105,0,pristine,simulated,299.9558905675899,236.11926988589266,173.33699159207032,148.5972166056392,151.22786872596953,165.27693237676198,-44.053333997757164,36.83128710597936,130.57781922695753,-1052.0127719730194,-804.9532273282805,-551.6669991844924,-993.9638903576804,-762.571820578649,-532.7195064132983,-930.8307927078878,-698.1198519360661,-481.7389022353458,-45.88264624197626,92.72901536771093,210.2549872052012,-17.72540455264493,159.72022923312585,326.63185369771065,-41.170290189352784,182.71930351155083,407.52013174928106
106,0,pristine,simulated,170.59229449209462,132.98104845768466,93.19412032834718,119.94260740634898,124.35210554043825,131.0236420941114,45.10955473593083,102.46241175285569,171.8865880035734,-574.285282408965,-428.07479469806515,-273.48827758328343,-563.5554656626665,-428.2786819527563,-286.4845216544819,-555.1242513320543,-423.61992023083195,-297.33104606194144,-67.57355714134025,-6.102188373064934,45.0907495283753,-59.542112604784506,16.488761428147853,84.7684462428922,-63.543790966720735,40.655829886771556,143.61582944081457
107,0,pristine,simulated,211.87741201434835,155.99660117871883,96.79055513403259,140.7242422904702,146.48496264459024,154.97526977223228,31.907826815773735,112.45656317451947,217.81381067055446,-717.806043791814,-502.0255366748271,-275.14051378678,-703.2381502940465,-504.7726368753288,-292.4881759069595,-689.1209158471584,-499.3893598880772,-314.97422703182207,-68.29228109364396,20.91139864266333,96.65567055486312,-60.02972503264735,49.74260483884885,149.01817041222353,-67.0045323706471,85.5721941260581,240.63612335297915
108,0,pristine,simulated,311.39295910893236,247.6139786651609,187.53257562108504,96.80736245718245,90.13860411436873,99.21001425025337,-156.9367182026555,-102.47318808457038,-50.30274905834439,-1131.0569435240018,-887.3540907992028,-637.8386228603047,-1035.6283829630738,-804.1272805045427,-581.5313961548547,-929.205544224256,-688.1042321386684,-467.11778195116483,14.306236660083016,184.43226229811972,331.90666318702927,53.50550012379426,272.61542221305587,484.1752031131758,7.5442784891465635,264.4076397453217,521.8161402577706
