V_1_1,V_2_1,V_3_1,V_1_2,V_2_2,V_3_2,V_1_3,V_2_3,V_3_3,H_1_1,H_1_2,H_1_3,H_2_1,H_2_2,H_2_3,H_3_1,H_3_2,H_3_3,VH_1_1,VH_1_2,VH_1_3,VH_2_1,VH_2_2,VH_2_3,VH_3_1,VH_3_2,VH_3_3,sample_idx,loadcase,source,damage_state,damage_label
355.36383583801796,270.51842433345246,198.09446795472246,68.33298847475638,52.512148470658275,67.52278090399054,-208.48936621702296,-220.3953824254719,-128.88884382396031,-1317.1463808663839,-999.0578119936337,-685.5268461797725,-1184.9718944682631,-876.3803818164808,-618.5811476584164,-992.6264056613243,-684.886641557131,-488.0176119950109,-48.50836049385401,163.94835287710617,347.69804987424726,-56.16532981428384,242.39484511468135,520.2337056984768,-57.09594084031272,240.21942611917575,589.805871699789,0,853,generated,pristine,0
405.3820026095236,304.8462610298469,215.53067384860617,157.99062207670505,136.55248197180381,127.12212159612096,-153.24438773628367,-76.59822654984801,-45.26732207833351,-1418.4675217234674,-1069.7894460857501,-729.694596207124,-1281.4901067033325,-964.5899033679246,-643.3747819266381,-1128.0585296162724,-815.620615400434,-505.79889979175516,-38.62543869842068,171.63797840550666,360.9196622191349,-8.86468745331723,256.0248501122487,524.4276272708422,-30.784347942095053,250.7995551413968,589.448159184316,1,853,generated,pristine,0
329.6178623058986,276.92790296495497,215.1762852633663,71.82186664685246,103.37168617039254,148.88029219483786,-263.210036258115,-106.17086095199478,9.017896968681214,-1252.3784241117492,-997.52798342048,-705.3270938060983,-1218.2971555230606,-927.8205805435265,-659.7324062974017,-1100.2998884269225,-814.6002564529637,-521.5534390314948,57.01423078382106,238.53438144497073,393.12142048216987,90.1564435836458,357.82348206782325,598.6096865141166,42.78419112580826,394.833091875293,710.6926944439546,2,853,generated,pristine,0
348.37484605937993,270.6726684310575,195.7515353163449,95.55391144263848,96.7405689940372,118.80003375553403,-172.00197811380343,-124.69647820513727,-77.29332732506852,-1248.9381819756927,-962.3210136200124,-655.2991572359555,-1125.2574878921077,-867.8254823534729,-617.1613998315786,-1038.0987204565715,-723.3939128433061,-506.5848522224368,-27.218572665990507,163.17544306952578,335.47493616052236,17.33785642783596,249.9404665419027,484.4901989414327,-21.717769272821727,256.61580527425315,561.8483445738833,3,853,generated,pristine,0
330.9549531818634,259.2551505482802,189.7543085580623,110.71755267257457,95.94009261417091,102.12432672972736,-119.96441869582866,-103.11833399421562,-82.9666911398654,-1207.4699164646577,-924.4489419913376,-636.5579046738148,-1091.6981294787397,-833.3898342899975,-591.1562768878796,-977.8042727563773,-701.8401354511536,-492.685308217567,43.25378499695731,244.03231750009925,418.1326621008569,123.37728611285166,351.328662404264,582.2845862993653,92.77617559683398,335.2067381994885,615.4716953920138,4,853,generated,pristine,0
379.484499274623,283.2939500008114,191.35924647958137,136.42102262482052,118.52257252945809,125.16892339592013,-121.49168223433378,-100.01523001871767,-88.53840118004541,-1356.4316603141492,-1002.4808796453813,-645.0894361082485,-1199.10548292669,-914.3123068660856,-626.5958837010976,-1072.622242676943,-784.8756220377768,-523.7871615268325,-85.0222364591827,138.7148633331382,336.2502012199694,-38.344407787867624,209.95186131769043,459.65225405651336,-66.09382779448788,190.64007069838516,514.9672815983479,5,853,generated,pristine,0
359.91366133697005,273.99242936726546,205.05076622007306,94.2873526552249,79.39882418115161,81.93304942210655,-216.286585178459,-153.67124790030365,-90.49567726911405,-1308.830539138422,-990.8662030313917,-702.7751939443054,-1163.4957868567863,-858.449533348374,-573.2482651056729,-994.6839336336049,-672.9103724560085,-425.40593965162134,-48.0456228906078,165.37593302441172,360.6564029528063,-32.127428898127505,259.4062424899165,532.2954800739632,-84.02593790208806,265.69430771263484,571.1861688025061,6,853,generated,pristine,0
313.9935409698113,246.73365790735372,177.511329710064,104.38451567283626,119.07576580191173,151.04899608635765,-89.05318203471843,-65.0877319113927,-26.62672852327671,-1151.0177005227456,-858.0401623526726,-525.4638808043566,-1071.6473290597412,-815.7458173158209,-539.6802333854638,-1032.0440646903826,-744.2527628953236,-508.6481378818184,131.0847706943346,318.353887624272,459.5868566204721,239.03501384811256,454.40834089652446,654.6284181091222,217.7273664925243,444.83329535717206,679.3675104121476,7,853,generated,pristine,0
394.39999271303395,302.0114476887725,203.1788988637258,150.23412616471046,119.92543874278391,105.65658508802495,-137.75470643116233,-104.15129272199067,-76.20227507131172,-1408.6914824550174,-1085.2664689305022,-737.855927414726,-1299.3651863036625,-1006.2812138674907,-739.5140710530712,-1152.934690200149,-881.1630711786117,-601.6859524831196,-93.54430658464017,99.71456940626112,276.2106318123738,-102.89127032933794,146.22726316921364,380.36365421851934,-167.43077080553206,106.69165204486217,405.31006495520455,8,853,generated,pristine,0
329.9232525729341,266.30259977974043,207.12100957652376,139.4102732293273,147.4965786710096,167.63240568716037,-129.4163108780323,-21.74994296673387,75.08528211866658,-1164.3496819985082,-912.6333256935498,-634.147609306254,-1114.3465704369464,-861.8886797236496,-574.1470655864823,-1095.4086046450107,-790.2515413029394,-514.5984351614737,102.40521232601344,261.14626288139596,400.4681951159199,177.44778393942624,383.71377329197355,584.2439797782157,75.24767362922876,381.8512690456235,618.6705748938015,9,853,generated,pristine,0
